version,2.3.0
info,balls_per_over,6
info,team,Karnali Yaks
info,team,Sudur Paschim Royals
info,team_type,club
info,gender,male
info,season,2024/25
info,date,2024/12/16
info,event,Nepal Premier League
info,match_id,1462666
info,match_type,T20
info,overs,20
info,match_number,28
info,venue,"Tribhuvan University International Cricket Ground, Kirtipur"
info,city,Kirtipur
info,toss_winner,Sudur Paschim Royals
info,toss_decision,field
info,player_of_match,DS Airee
info,umpire,HR Giri
info,umpire,Sanjay Gurung
info,reserve_umpire,Kamalesh Thakur
info,tv_umpire,Bismillah Shinwari
info,match_referee,Mohammed Shafique
info,target_overs,2,20
info,target_runs,2,102
info,winner,Sudur Paschim Royals
info,winner_wickets,6
info,player,Karnali Yaks,Babar Hayat
info,player,Karnali Yaks,Rit Gautam
info,player,Karnali Yaks,CAK Walton
info,player,Karnali Yaks,D Khanal
info,player,Karnali Yaks,WG Bosisto
info,player,Karnali Yaks,Zeeshan Maqsood
info,player,Karnali Yaks,Gulsan Jha
info,player,Karnali Yaks,Sompal Kami
info,player,Karnali Yaks,A Gharti
info,player,Karnali Yaks,NK Yadav
info,player,Karnali Yaks,BP Sharma
info,player,Sudur Paschim Royals,SA Zaib
info,player,Sudur Paschim Royals,B Bhandari
info,player,Sudur Paschim Royals,BJ McMullen
info,player,Sudur Paschim Royals,I Pandey
info,player,Sudur Paschim Royals,DS Airee
info,player,Sudur Paschim Royals,Aarif Sheikh
info,player,Sudur Paschim Royals,Harmeet Singh
info,player,Sudur Paschim Royals,SC Kuggeleijn
info,player,Sudur Paschim Royals,NB Budayair
info,player,Sudur Paschim Royals,N Saud
info,player,Sudur Paschim Royals,A Bohara
info,registry,people,A Bohara,64fb6b15
info,registry,people,A Gharti,0b62d391
info,registry,people,Aarif Sheikh,cd4d7695
info,registry,people,B Bhandari,82342b13
info,registry,people,BJ McMullen,436c763a
info,registry,people,BP Sharma,947ceca5
info,registry,people,Babar Hayat,fbb657bb
info,registry,people,Bismillah Shinwari,cae815a0
info,registry,people,CAK Walton,bbff906c
info,registry,people,D Khanal,c4bc3b59
info,registry,people,DS Airee,1747ea18
info,registry,people,Gulsan Jha,9811e35e
info,registry,people,HR Giri,fea1e74f
info,registry,people,Harmeet Singh,0bf15e52
info,registry,people,I Pandey,ed547c49
info,registry,people,Kamalesh Thakur,6926399e
info,registry,people,Mohammed Shafique,a9ca87b8
info,registry,people,N Saud,010df582
info,registry,people,NB Budayair,9d280648
info,registry,people,NK Yadav,737e595d
info,registry,people,Rit Gautam,f1471db3
info,registry,people,SA Zaib,ab01e323
info,registry,people,SC Kuggeleijn,fef92afc
info,registry,people,Sanjay Gurung,0ef792dc
info,registry,people,Sompal Kami,1adb8ee8
info,registry,people,WG Bosisto,04ef663a
info,registry,people,Zeeshan Maqsood,34464143
