match_id,season,start_date,venue,innings,ball,actual_delivery,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,non_boundary,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed,fielder_1,fielder_2,fielder_3
1410530,2024,2024-06-07,"Old Trafford, Manchester",1,0.1,0.1,Thunder,Southern Vipers,EL Lamb,FMK Morris,LCN Smith,1,0,,,,,,,,,,,,,
1410530,2024,2024-06-07,"Old Trafford, Manchester",1,0.2,0.2,Thunder,Southern Vipers,FMK Morris,EL Lamb,LCN Smith,0,0,,,,,,,,,,,,,
1410530,2024,2024-06-07,"Old Trafford, Manchester",1,0.3,0.3,Thunder,Southern Vipers,FMK Morris,EL Lamb,LCN Smith,0,0,,,,,,,,,,,,,
1410530,2024,2024-06-07,"Old Trafford, Manchester",1,0.4,0.4,Thunder,Southern Vipers,FMK Morris,EL Lamb,LCN Smith,1,0,,,,,,,,,,,,,
1410530,2024,2024-06-07,"Old Trafford, Manchester",1,0.5,0.5,Thunder,Southern Vipers,EL Lamb,FMK Morris,LCN Smith,0,0,,,,,,,,,,,,,
1410530,2024,2024-06-07,"Old Trafford, Manchester",1,0.6,0.6,Thunder,Southern Vipers,EL Lamb,FMK Morris,LCN Smith,0,0,,,,,,,,,,,,,
1410530,2024,2024-06-07,"Old Trafford, Manchester",1,1.1,1.1,Thunder,Southern Vipers,FMK Morris,EL Lamb,FR Davies,0,0,,,,,,,,,,,,,
1410530,2024,2024-06-07,"Old Trafford, Manchester",1,1.2,1.2,Thunder,Southern Vipers,FMK Morris,EL Lamb,FR Davies,4,0,,,,,,,,,,,,,
1410530,2024,2024-06-07,"Old Trafford, Manchester",1,1.3,1.3,Thunder,Southern Vipers,FMK Morris,EL Lamb,FR Davies,0,0,,,,,,,caught,FMK Morris,,,R Southby,,
1410530,2024,2024-06-07,"Old Trafford, Manchester",1,1.4,1.4,Thunder,Southern Vipers,KM Mack,EL Lamb,FR Davies,0,0,,,,,,,,,,,,,
1410530,2024,2024-06-07,"Old Trafford, Manchester",1,1.5,1.5,Thunder,Southern Vipers,KM Mack,EL Lamb,FR Davies,1,0,,,,,,,,,,,,,
1410530,2024,2024-06-07,"Old Trafford, Manchester",1,1.6,1.6,Thunder,Southern Vipers,EL Lamb,KM Mack,FR Davies,4,0,,,,,,,,,,,,,
