version,2.3.0
info,balls_per_over,6
info,team,Biratnagar Kings
info,team,Pokhara Avengers
info,team_type,club
info,gender,male
info,season,2025/26
info,date,2025/11/18
info,event,Nepal Premier League
info,match_id,1510979
info,match_type,T20
info,overs,20
info,match_number,3
info,venue,"Tribhuvan University International Cricket Ground, Kirtipur"
info,city,Kirtipur
info,toss_winner,Pokhara Avengers
info,toss_decision,field
info,player_of_match,Lokesh Bam
info,umpire,BB Pradhan
info,umpire,RR Wimalasiri
info,reserve_umpire,U Regmi
info,tv_umpire,RMPJ Rambukwella
info,match_referee,Mohammed Shafique
info,target_overs,2,20
info,target_runs,2,221
info,winner,Biratnagar Kings
info,winner_runs,53
info,player,Biratnagar Kings,Lokesh Bam
info,player,Biratnagar Kings,HG Munsey
info,player,Biratnagar Kings,MJ Guptill
info,player,Biratnagar Kings,Shubham Ranjane
info,player,Biratnagar Kings,Basir Ahamad
info,player,Biratnagar Kings,N Joshi
info,player,Biratnagar Kings,Pratis GC
info,player,Biratnagar Kings,Surya Tamang
info,player,Biratnagar Kings,M de Lange
info,player,Biratnagar Kings,N Bhatta
info,player,Biratnagar Kings,S Lamichhane
info,player,Pokhara Avengers,D Kharel
info,player,Pokhara Avengers,AM Rossington
info,player,Pokhara Avengers,K Bhurtel
info,player,Pokhara Avengers,JDS Neesham
info,player,Pokhara Avengers,TR Das
info,player,Pokhara Avengers,K Thagunna
info,player,Pokhara Avengers,Abhisekh Tiwari
info,player,Pokhara Avengers,DA Douthwaite
info,player,Pokhara Avengers,MD Taylor
info,player,Pokhara Avengers,Aakash Chand
info,player,Pokhara Avengers,S Dhakal
info,registry,people,AM Rossington,7bcde3fe
info,registry,people,Aakash Chand,279c51f0
info,registry,people,Abhisekh Tiwari,12d57ebd
info,registry,people,Arjun Kumal,2f7a41f8
info,registry,people,BB Pradhan,8603d942
info,registry,people,Basir Ahamad,218c7eab
info,registry,people,D Kharel,0e3bfa00
info,registry,people,DA Douthwaite,03df7a25
info,registry,people,HG Munsey,ff014c34
info,registry,people,JDS Neesham,9219eff0
info,registry,people,K Bhurtel,e3386c8a
info,registry,people,K Thagunna,97d86e77
info,registry,people,Lokesh Bam,75c8a26b
info,registry,people,M de Lange,d4eef961
info,registry,people,MD Taylor,01a95383
info,registry,people,MJ Guptill,2be41edb
info,registry,people,Mohammed Shafique,a9ca87b8
info,registry,people,N Bhatta,f67dd650
info,registry,people,N Joshi,58c71b70
info,registry,people,Pratis GC,c1077ba3
info,registry,people,RMPJ Rambukwella,13fa6ffc
info,registry,people,RR Wimalasiri,4950c8db
info,registry,people,S Dhakal,8955b928
info,registry,people,S Lamichhane,b410bd3d
info,registry,people,Shubham Ranjane,6c7a68d0
info,registry,people,Surya Tamang,579f2447
info,registry,people,TR Das,40f1a776
info,registry,people,U Regmi,d1ce9fb5
