version,2.3.0
info,balls_per_over,6
info,team,Somerset
info,team,Northamptonshire
info,gender,male
info,team_type,club
info,season,2026
info,date,2026/07/05
info,match_id,1512857
info,match_type,T20
info,overs,20
info,event,Vitality Blast Men
info,venue,"County Ground, Northampton"
info,city,Northampton
info,toss_winner,Northamptonshire
info,toss_decision,field
info,umpire,Rob White
info,umpire,Surendiran Shanmugam
info,match_referee,AJ Swann
info,winner,Somerset
info,winner_runs,105
info,player,Somerset,WCF Smeed
info,player,Somerset,THS Rew
info,player,Somerset,JEK Rew
info,player,Somerset,T Kohler-Cadmore
info,player,Somerset,LP Goldsworthy
info,player,Somerset,DR Sams
info,player,Somerset,JF Thomas
info,player,Somerset,C Overton
info,player,Somerset,J Shaw
info,player,Somerset,RP Meredith
info,player,Somerset,JT Ball
info,player,Northamptonshire,R Vasconcelos
info,player,Northamptonshire,NA McSweeney
info,player,Northamptonshire,CG Harrison
info,player,Northamptonshire,DJ Willey
info,player,Northamptonshire,SA Zaib
info,player,Northamptonshire,LPJ Kimber
info,player,Northamptonshire,LD McManus
info,player,Northamptonshire,GA Bartlett
info,player,Northamptonshire,JJG Sales
info,player,Northamptonshire,BW Sanderson
info,player,Northamptonshire,GLS Scrimshaw
info,registry,people,AJ Swann,f9d218a7
info,registry,people,BW Sanderson,e871a7a1
info,registry,people,C Overton,e9987a94
info,registry,people,CG Harrison,f655d740
info,registry,people,DJ Willey,7f048519
info,registry,people,DR Sams,caf69bf7
info,registry,people,GA Bartlett,e2caec46
info,registry,people,GLS Scrimshaw,95a06106
info,registry,people,J Shaw,b82e3032
info,registry,people,JEK Rew,521595e7
info,registry,people,JF Thomas,bdd4bc21
info,registry,people,JJG Sales,a63dfe8a
info,registry,people,JT Ball,3d0ed2f9
info,registry,people,LD McManus,6feb46a4
info,registry,people,LP Goldsworthy,ed47cb25
info,registry,people,LPJ Kimber,9f812582
info,registry,people,NA McSweeney,e94d2d50
info,registry,people,R Vasconcelos,efe3fcc5
info,registry,people,RP Meredith,64775749
info,registry,people,Rob White,59b91222
info,registry,people,SA Zaib,ab01e323
info,registry,people,Surendiran Shanmugam,2ef5fc2b
info,registry,people,T Kohler-Cadmore,f836b33d
info,registry,people,THS Rew,a8ffcd4f
info,registry,people,WCF Smeed,4e18e961
