version,2.3.0
info,balls_per_over,6
info,team,Munster Reds
info,team,Leinster Lightning
info,team_type,club
info,gender,male
info,season,2025
info,date,2025/06/24
info,event,Cricket Ireland Inter-Provincial Twenty20 Trophy
info,match_id,1478067
info,match_type,T20
info,overs,20
info,match_number,8
info,venue,"Civil Service Cricket Club, Stormont, Belfast"
info,city,Belfast
info,toss_winner,Leinster Lightning
info,toss_decision,field
info,umpire,Aidan Seaver
info,umpire,M Hawthorne
info,reserve_umpire,R Black
info,match_referee,Philip Thompson
info,target_overs,2,20
info,target_runs,2,123
info,winner,Leinster Lightning
info,winner_wickets,6
info,player,Munster Reds,S Modgil
info,player,Munster Reds,ST Doheny
info,player,Munster Reds,K Hilton
info,player,Munster Reds,Suliman Safi
info,player,Munster Reds,PL le Roux
info,player,Munster Reds,JC McNally
info,player,Munster Reds,Zubair Khan
info,player,Munster Reds,L McCarthy
info,player,Munster Reds,Bakhtyar Nabi
info,player,Munster Reds,J Manley
info,player,Munster Reds,B White
info,player,Leinster Lightning,TH Tector
info,player,Leinster Lightning,C De Freitas
info,player,Leinster Lightning,HT Tector
info,player,Leinster Lightning,L Tucker
info,player,Leinster Lightning,GH Dockrell
info,player,Leinster Lightning,S Lynch
info,player,Leinster Lightning,G Hoey
info,player,Leinster Lightning,DC Delany
info,player,Leinster Lightning,BJ McCarthy
info,player,Leinster Lightning,M Deveraj
info,player,Leinster Lightning,R Wilson
info,registry,people,Aidan Seaver,862c0b16
info,registry,people,B White,1a448be0
info,registry,people,BJ McCarthy,3766056b
info,registry,people,Bakhtyar Nabi,b29aa20f
info,registry,people,C De Freitas,22072cab
info,registry,people,DC Delany,0f9c9d1d
info,registry,people,G Hoey,19d0a172
info,registry,people,GH Dockrell,99cddc5e
info,registry,people,HT Tector,59ea70a4
info,registry,people,J Manley,05f85159
info,registry,people,JC McNally,8614ffef
info,registry,people,K Hilton,9339830a
info,registry,people,L McCarthy,8eb2e2e6
info,registry,people,L Tucker,3979b5e0
info,registry,people,M Deveraj,9f964d26
info,registry,people,M Hawthorne,ea123ee4
info,registry,people,PL le Roux,3b9a7ca6
info,registry,people,Philip Thompson,0c677650
info,registry,people,R Black,156c8fb1
info,registry,people,R Wilson,81b0935a
info,registry,people,S Lynch,5ffe6225
info,registry,people,S Modgil,b95f28af
info,registry,people,ST Doheny,4992d6f6
info,registry,people,Suliman Safi,f8b4fd5f
info,registry,people,TH Tector,0348f9a5
info,registry,people,Zubair Khan,724cecd0
