match_id,season,start_date,venue,innings,ball,actual_delivery,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,non_boundary,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed,fielder_1,fielder_2,fielder_3
1451776,2024,2024-09-25,"Ruaraka Sports Club Ground, Nairobi",1,0.1,0.1,Jersey,Kenya,H Carlyon,NA Greenwood,S Gill,0,1,,,,1,,,,,,,,,
1451776,2024,2024-09-25,"Ruaraka Sports Club Ground, Nairobi",1,0.2,0.2,Jersey,Kenya,NA Greenwood,H Carlyon,S Gill,0,0,,,,,,,,,,,,,
1451776,2024,2024-09-25,"Ruaraka Sports Club Ground, Nairobi",1,0.3,0.3,Jersey,Kenya,NA Greenwood,H Carlyon,S Gill,0,0,,,,,,,,,,,,,
1451776,2024,2024-09-25,"Ruaraka Sports Club Ground, Nairobi",1,0.4,0.4,Jersey,Kenya,NA Greenwood,H Carlyon,S Gill,1,0,,,,,,,,,,,,,
1451776,2024,2024-09-25,"Ruaraka Sports Club Ground, Nairobi",1,0.5,0.5,Jersey,Kenya,H Carlyon,NA Greenwood,S Gill,0,0,,,,,,,,,,,,,
1451776,2024,2024-09-25,"Ruaraka Sports Club Ground, Nairobi",1,0.6,0.6,Jersey,Kenya,H Carlyon,NA Greenwood,S Gill,0,0,,,,,,,,,,,,,
1451776,2024,2024-09-25,"Ruaraka Sports Club Ground, Nairobi",1,1.1,1.1,Jersey,Kenya,NA Greenwood,H Carlyon,P Koech,0,0,,,,,,,,,,,,,
1451776,2024,2024-09-25,"Ruaraka Sports Club Ground, Nairobi",1,1.2,1.2,Jersey,Kenya,NA Greenwood,H Carlyon,P Koech,0,0,,,,,,,,,,,,,
1451776,2024,2024-09-25,"Ruaraka Sports Club Ground, Nairobi",1,1.3,1.3,Jersey,Kenya,NA Greenwood,H Carlyon,P Koech,0,0,,,,,,,,,,,,,
1451776,2024,2024-09-25,"Ruaraka Sports Club Ground, Nairobi",1,1.4,1.4,Jersey,Kenya,NA Greenwood,H Carlyon,P Koech,0,0,,,,,,,,,,,,,
1451776,2024,2024-09-25,"Ruaraka Sports Club Ground, Nairobi",1,1.5,1.5,Jersey,Kenya,NA Greenwood,H Carlyon,P Koech,0,0,,,,,,,,,,,,,
