match_id,season,start_date,venue,innings,ball,actual_delivery,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,non_boundary,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed,fielder_1,fielder_2,fielder_3
1529291,2026,2026-05-05,"Arun Jaitley Stadium, Delhi",1,0.1,0.1,Delhi Capitals,Chennai Super Kings,P Nissanka,KL Rahul,AJ Hosein,4,0,,,,,,,,,,,,,
1529291,2026,2026-05-05,"Arun Jaitley Stadium, Delhi",1,0.2,0.2,Delhi Capitals,Chennai Super Kings,P Nissanka,KL Rahul,AJ Hosein,0,0,,,,,,,,,,,,,
1529291,2026,2026-05-05,"Arun Jaitley Stadium, Delhi",1,0.3,0.3,Delhi Capitals,Chennai Super Kings,P Nissanka,KL Rahul,AJ Hosein,0,0,,,,,,,,,,,,,
1529291,2026,2026-05-05,"Arun Jaitley Stadium, Delhi",1,0.4,0.4,Delhi Capitals,Chennai Super Kings,P Nissanka,KL Rahul,AJ Hosein,0,0,,,,,,,,,,,,,
1529291,2026,2026-05-05,"Arun Jaitley Stadium, Delhi",1,0.5,0.5,Delhi Capitals,Chennai Super Kings,P Nissanka,KL Rahul,AJ Hosein,4,0,,,,,,,,,,,,,
1529291,2026,2026-05-05,"Arun Jaitley Stadium, Delhi",1,0.6,0.6,Delhi Capitals,Chennai Super Kings,P Nissanka,KL Rahul,AJ Hosein,0,0,,,,,,,,,,,,,
1529291,2026,2026-05-05,"Arun Jaitley Stadium, Delhi",1,1.1,1.1,Delhi Capitals,Chennai Super Kings,KL Rahul,P Nissanka,Mukesh Choudhary,0,0,,,,,,,,,,,,,
1529291,2026,2026-05-05,"Arun Jaitley Stadium, Delhi",1,1.2,1.2,Delhi Capitals,Chennai Super Kings,KL Rahul,P Nissanka,Mukesh Choudhary,4,0,,,,,,,,,,,,,
1529291,2026,2026-05-05,"Arun Jaitley Stadium, Delhi",1,1.3,1.3,Delhi Capitals,Chennai Super Kings,KL Rahul,P Nissanka,Mukesh Choudhary,0,0,,,,,,,,,,,,,
1529291,2026,2026-05-05,"Arun Jaitley Stadium, Delhi",1,1.4,1.4,Delhi Capitals,Chennai Super Kings,KL Rahul,P Nissanka,Mukesh Choudhary,1,0,,,,,,,,,,,,,
1529291,2026,2026-05-05,"Arun Jaitley Stadium, Delhi",1,1.5,1.5,Delhi Capitals,Chennai Super Kings,P Nissanka,KL Rahul,Mukesh Choudhary,0,0,,,,,,,,,,,,,
1529291,2026,2026-05-05,"Arun Jaitley Stadium, Delhi",1,1.6,1.6,Delhi Capitals,Chennai Super Kings,P Nissanka,KL Rahul,Mukesh Choudhary,0,0,,,,,,,,,,,,,
1529291,2026,2026-05-05,"Arun Jaitley Stadium, Delhi",1,2.1,2.1,Delhi Capitals,Chennai Super Kings,KL Rahul,P Nissanka,AJ Hosein,1,0,,,,,,,,,,,,,
1529291,2026,2026-05-05,"Arun Jaitley Stadium, Delhi",1,2.2,2.2,Delhi Capitals,Chennai Super Kings,P Nissanka,KL Rahul,AJ Hosein,1,0,,,,,,,,,,,,,
1529291,2026,2026-05-05,"Arun Jaitley Stadium, Delhi",1,2.3,2.3,Delhi Capitals,Chennai Super Kings,KL Rahul,P Nissanka,AJ Hosein,0,0,,,,,,,,,,,,,
1529291,2026,2026-05-05,"Arun Jaitley Stadium, Delhi",1,2.4,2.4,Delhi Capitals,Chennai Super Kings,KL Rahul,P Nissanka,AJ Hosein,0,0,,,,,,,,,,,,,
1529291,2026,2026-05-05,"Arun Jaitley Stadium, Delhi",1,2.5,2.5,Delhi Capitals,Chennai Super Kings,KL Rahul,P Nissanka,AJ Hosein,0,0,,,,,,,,,,,,,
1529291,2026,2026-05-05,"Arun Jaitley Stadium, Delhi",1,2.6,2.6,Delhi Capitals,Chennai Super Kings,KL Rahul,P Nissanka,AJ Hosein,4,0,,,,,,,,,,,,,
1529291,2026,2026-05-05,"Arun Jaitley Stadium, Delhi",1,3.1,3.1,Delhi Capitals,Chennai Super Kings,P Nissanka,KL Rahul,Mukesh Choudhary,0,0,,,,,,,,,,,,,
1529291,2026,2026-05-05,"Arun Jaitley Stadium, Delhi",1,3.2,3.2,Delhi Capitals,Chennai Super Kings,P Nissanka,KL Rahul,Mukesh Choudhary,0,0,,,,,,,,,,,,,
1529291,2026,2026-05-05,"Arun Jaitley Stadium, Delhi",1,3.3,3.3,Delhi Capitals,Chennai Super Kings,P Nissanka,KL Rahul,Mukesh Choudhary,4,0,,,,,,,,,,,,,
1529291,2026,2026-05-05,"Arun Jaitley Stadium, Delhi",1,3.4,3.4,Delhi Capitals,Chennai Super Kings,P Nissanka,KL Rahul,Mukesh Choudhary,6,0,,,,,,,,,,,,,
1529291,2026,2026-05-05,"Arun Jaitley Stadium, Delhi",1,3.5,3.5,Delhi Capitals,Chennai Super Kings,P Nissanka,KL Rahul,Mukesh Choudhary,0,0,,,,,,,,,,,,,
1529291,2026,2026-05-05,"Arun Jaitley Stadium, Delhi",1,3.6,3.6,Delhi Capitals,Chennai Super Kings,P Nissanka,KL Rahul,Mukesh Choudhary,0,0,,,,,,,caught,P Nissanka,,,D Brevis,,
1529291,2026,2026-05-05,"Arun Jaitley Stadium, Delhi",1,4.1,4.1,Delhi Capitals,Chennai Super Kings,KL Rahul,N Rana,A Kamboj,1,0,,,,,,,,,,,,,
1529291,2026,2026-05-05,"Arun Jaitley Stadium, Delhi",1,4.2,4.2,Delhi Capitals,Chennai Super Kings,N Rana,KL Rahul,A Kamboj,1,0,,,,,,,,,,,,,
1529291,2026,2026-05-05,"Arun Jaitley Stadium, Delhi",1,4.3,4.3,Delhi Capitals,Chennai Super Kings,KL Rahul,N Rana,A Kamboj,0,0,,,,,,,,,,,,,
1529291,2026,2026-05-05,"Arun Jaitley Stadium, Delhi",1,4.4,4.4,Delhi Capitals,Chennai Super Kings,KL Rahul,N Rana,A Kamboj,1,0,,,,,,,,,,,,,
1529291,2026,2026-05-05,"Arun Jaitley Stadium, Delhi",1,4.5,4.5,Delhi Capitals,Chennai Super Kings,N Rana,KL Rahul,A Kamboj,4,0,,,,,,,,,,,,,
1529291,2026,2026-05-05,"Arun Jaitley Stadium, Delhi",1,4.6,4.6,Delhi Capitals,Chennai Super Kings,N Rana,KL Rahul,A Kamboj,0,0,,,,,,,,,,,,,
1529291,2026,2026-05-05,"Arun Jaitley Stadium, Delhi",1,5.1,5.1,Delhi Capitals,Chennai Super Kings,KL Rahul,N Rana,AJ Hosein,0,0,,,,,,,caught,KL Rahul,,,RD Gaikwad,,
1529291,2026,2026-05-05,"Arun Jaitley Stadium, Delhi",1,5.2,5.2,Delhi Capitals,Chennai Super Kings,KK Nair,N Rana,AJ Hosein,0,0,,,,,,,,,,,,,
1529291,2026,2026-05-05,"Arun Jaitley Stadium, Delhi",1,5.3,5.3,Delhi Capitals,Chennai Super Kings,KK Nair,N Rana,AJ Hosein,0,0,,,,,,,,,,,,,
1529291,2026,2026-05-05,"Arun Jaitley Stadium, Delhi",1,5.4,5.4,Delhi Capitals,Chennai Super Kings,KK Nair,N Rana,AJ Hosein,0,0,,,,,,,,,,,,,
1529291,2026,2026-05-05,"Arun Jaitley Stadium, Delhi",1,5.5,5.5,Delhi Capitals,Chennai Super Kings,KK Nair,N Rana,AJ Hosein,1,0,,,,,,,,,,,,,
1529291,2026,2026-05-05,"Arun Jaitley Stadium, Delhi",1,5.6,5.6,Delhi Capitals,Chennai Super Kings,N Rana,KK Nair,AJ Hosein,0,0,,,,,,,,,,,,,
