version,2.3.0
info,balls_per_over,6
info,team,Thailand
info,team,Papua New Guinea
info,gender,female
info,team_type,international
info,season,2026
info,date,2026/08/15
info,match_id,1549211
info,match_type,ODI
info,match_type_number,1558
info,overs,50
info,event,Thailand Women tour of Papua New Guinea
info,match_number,2
info,venue,"Amini Park, Port Moresby"
info,city,Port Moresby
info,toss_winner,Papua New Guinea
info,toss_decision,field
info,player_of_match,P Maya
info,umpire,Junius Ani
info,umpire,Tabarak Dar
info,reserve_umpire,H Atai
info,match_referee,Kent Hannam
info,target_overs,2,50
info,target_runs,2,192
info,winner,Thailand
info,winner_runs,40
info,player,Thailand,P Maya
info,player,Thailand,N Chantam
info,player,Thailand,N Koncharoenkai
info,player,Thailand,N Chaiwai
info,player,Thailand,A Suwanchonrathi
info,player,Thailand,C Sutthiruang
info,player,Thailand,N Chaihan
info,player,Thailand,S Laomi
info,player,Thailand,S Chaturongrattana
info,player,Thailand,O Kamchomphu
info,player,Thailand,T Putthawong
info,player,Papua New Guinea,H Doriga
info,player,Papua New Guinea,N Vare
info,player,Papua New Guinea,B Tau
info,player,Papua New Guinea,T Ruma
info,player,Papua New Guinea,K Frank
info,player,Papua New Guinea,P Siaka
info,player,Papua New Guinea,S Jimmy
info,player,Papua New Guinea,HJ Thomas
info,player,Papua New Guinea,I Toua
info,player,Papua New Guinea,D Lohia
info,player,Papua New Guinea,V Buruka
info,registry,people,A Suwanchonrathi,43a2244f
info,registry,people,B Tau,3a6cbb8e
info,registry,people,C Sutthiruang,f6ddfe08
info,registry,people,D Lohia,01341439
info,registry,people,H Atai,0460d756
info,registry,people,H Doriga,5aa874da
info,registry,people,HJ Thomas,a3034d3d
info,registry,people,I Toua,83cde44d
info,registry,people,Junius Ani,25a702c7
info,registry,people,K Frank,f7e96532
info,registry,people,Kent Hannam,8cc171e7
info,registry,people,N Chaihan,61b60bb3
info,registry,people,N Chaiwai,0825e4b3
info,registry,people,N Chantam,b5626ff7
info,registry,people,N Koncharoenkai,82c78412
info,registry,people,N Vare,20ace887
info,registry,people,O Kamchomphu,519b872a
info,registry,people,P Maya,72eada4c
info,registry,people,P Siaka,595433d2
info,registry,people,S Chaturongrattana,bd36bc39
info,registry,people,S Jimmy,2daa8e40
info,registry,people,S Laomi,4b15618c
info,registry,people,T Putthawong,23e3f2d6
info,registry,people,T Ruma,3697a0ff
info,registry,people,Tabarak Dar,2259c12d
info,registry,people,V Buruka,62d92d76
