version,2.3.0
info,balls_per_over,6
info,team,Janakpur Bolts
info,team,Lumbini Lions
info,team_type,club
info,gender,male
info,season,2025/26
info,date,2025/12/05
info,event,Nepal Premier League
info,match_id,1511001
info,match_type,T20
info,overs,20
info,match_number,25
info,venue,"Tribhuvan University International Cricket Ground, Kirtipur"
info,city,Kirtipur
info,toss_winner,Janakpur Bolts
info,toss_decision,bat
info,player_of_match,RK Paudel
info,umpire,RMPJ Rambukwella
info,umpire,RR Wimalasiri
info,reserve_umpire,SK Sigdel
info,tv_umpire,LE Hannibal
info,match_referee,M Nayyar
info,target_overs,2,20
info,target_runs,2,133
info,winner,Lumbini Lions
info,winner_wickets,4
info,player,Janakpur Bolts,Maaz Sadaqat
info,player,Janakpur Bolts,Aasif Sheikh
info,player,Janakpur Bolts,AK Sah
info,player,Janakpur Bolts,MMMS Cooray
info,player,Janakpur Bolts,S Kansakar
info,player,Janakpur Bolts,SP Krishnamurthi
info,player,Janakpur Bolts,JN Loftie-Eaton
info,player,Janakpur Bolts,Mayan Yadav
info,player,Janakpur Bolts,Rupesh Singh
info,player,Janakpur Bolts,Sachin Bhatt
info,player,Janakpur Bolts,A Mahata
info,player,Lumbini Lions,S Maharjan
info,player,Lumbini Lions,DJM Short
info,player,Lumbini Lions,RK Paudel
info,player,Lumbini Lions,N Dickwella
info,player,Lumbini Lions,S Jora
info,player,Lumbini Lions,JJ Smit
info,player,Lumbini Lions,D Nath
info,player,Lumbini Lions,R Trumpelmann
info,player,Lumbini Lions,S Malla
info,player,Lumbini Lions,TR Bhandari
info,player,Lumbini Lions,Abhishesh Gautam
info,registry,people,A Mahata,83fddc3f
info,registry,people,AK Sah,5b1d6583
info,registry,people,Aasif Sheikh,dcbea954
info,registry,people,Abhishesh Gautam,0baa5518
info,registry,people,D Nath,d019608b
info,registry,people,DJM Short,1a156c88
info,registry,people,JJ Smit,bb134e5c
info,registry,people,JN Loftie-Eaton,f468293b
info,registry,people,LE Hannibal,3c04e91a
info,registry,people,M Nayyar,b7bccddb
info,registry,people,MMMS Cooray,54fff140
info,registry,people,Maaz Sadaqat,6d9560f3
info,registry,people,Mayan Yadav,c6355538
info,registry,people,N Dickwella,45963d9e
info,registry,people,R Trumpelmann,ff6a7ab5
info,registry,people,RK Paudel,1a3cc554
info,registry,people,RMPJ Rambukwella,13fa6ffc
info,registry,people,RR Wimalasiri,4950c8db
info,registry,people,Rupesh Singh,30b93df1
info,registry,people,S Jora,156378d8
info,registry,people,S Kansakar,fd0e5582
info,registry,people,S Maharjan,f0b3e7ee
info,registry,people,S Malla,1daa8927
info,registry,people,SK Sigdel,e34ab986
info,registry,people,SP Krishnamurthi,3b8e7647
info,registry,people,Sachin Bhatt,312f21e7
info,registry,people,TR Bhandari,2593c302
