version,2.3.0
info,balls_per_over,6
info,team,Hampshire
info,team,Essex
info,gender,male
info,team_type,club
info,season,2026
info,date,2026/07/15
info,match_id,1512883
info,match_type,T20
info,overs,20
info,event,Vitality Blast Men
info,venue,"The Rose Bowl, Southampton"
info,city,Southampton
info,toss_winner,Essex
info,toss_decision,field
info,umpire,ID Blackwell
info,umpire,NJ Llong
info,match_referee,PM Such
info,winner,Hampshire
info,winner_runs,75
info,player,Hampshire,TE Albert
info,player,Hampshire,JM Vince
info,player,Hampshire,JJ Weatherley
info,player,Hampshire,HWR Cartwright
info,player,Hampshire,BA Mayes
info,player,Hampshire,D Potgieter
info,player,Hampshire,JK Fuller
info,player,Hampshire,AJ Neal
info,player,Hampshire,SW Currie
info,player,Hampshire,CP Wood
info,player,Hampshire,S Baker
info,player,Essex,PI Walter
info,player,Essex,MS Pepper
info,player,Essex,JM Cox
info,player,Essex,CWJ Allison
info,player,Essex,LM Benkenstein
info,player,Essex,MJJ Critchley
info,player,Essex,SR Harmer
info,player,Essex,NRM Thain
info,player,Essex,S Snater
info,player,Essex,CE Bennett
info,player,Essex,SJ Cook
info,registry,people,AJ Neal,d70473e8
info,registry,people,BA Mayes,f1541912
info,registry,people,CE Bennett,2d69f222
info,registry,people,CP Wood,1cfac535
info,registry,people,CWJ Allison,42ee1d76
info,registry,people,D Potgieter,60fbf53a
info,registry,people,HWR Cartwright,ab965cad
info,registry,people,ID Blackwell,818e8bf2
info,registry,people,JJ Weatherley,a05d0552
info,registry,people,JK Fuller,dda5aae5
info,registry,people,JM Cox,ff154ecd
info,registry,people,JM Vince,a15618fe
info,registry,people,LM Benkenstein,c2e5539b
info,registry,people,MJJ Critchley,c5cc48bc
info,registry,people,MS Pepper,270e4c23
info,registry,people,NJ Llong,573fb985
info,registry,people,NRM Thain,f8a63b6f
info,registry,people,PI Walter,57590dbb
info,registry,people,PM Such,c9f1892c
info,registry,people,S Baker,78c12883
info,registry,people,S Snater,a790df98
info,registry,people,SJ Cook,679cd31e
info,registry,people,SR Harmer,23638956
info,registry,people,SW Currie,c5f40e35
info,registry,people,TE Albert,a6c17509
