version,2.3.0
info,balls_per_over,6
info,team,Perth Scorchers
info,team,Sydney Sixers
info,team_type,club
info,gender,female
info,season,2025/26
info,date,2025/12/11
info,event,Women's Big Bash League
info,match_id,1494567
info,match_type,T20
info,overs,20
info,venue,"North Sydney Oval, Sydney"
info,city,Sydney
info,toss_winner,Sydney Sixers
info,toss_decision,field
info,player_of_match,BL Mooney
info,umpire,Andrew Crozier
info,umpire,Sharad Patel
info,reserve_umpire,ME Claydon
info,tv_umpire,Eloise Sheridan
info,match_referee,J Stainer
info,target_overs,2,20
info,target_runs,2,184
info,winner,Perth Scorchers
info,winner_runs,11
info,player,Perth Scorchers,KM Mack
info,player,Perth Scorchers,BL Mooney
info,player,Perth Scorchers,SFM Devine
info,player,Perth Scorchers,PJ Scholfield
info,player,Perth Scorchers,M Darke
info,player,Perth Scorchers,FG Kemp
info,player,Perth Scorchers,A King
info,player,Perth Scorchers,CC Ainsworth
info,player,Perth Scorchers,L Mills
info,player,Perth Scorchers,R Strange
info,player,Perth Scorchers,AL Edgar
info,player,Sydney Sixers,SIR Dunkley
info,player,Sydney Sixers,EA Perry
info,player,Sydney Sixers,AJ Healy
info,player,Sydney Sixers,A Gardner
info,player,Sydney Sixers,AC Kerr
info,player,Sydney Sixers,M Brown
info,player,Sydney Sixers,MK Villiers
info,player,Sydney Sixers,EA Burns
info,player,Sydney Sixers,L Kua
info,player,Sydney Sixers,L Cheatle
info,player,Sydney Sixers,CG Sippel
info,registry,people,A Gardner,bc969efb
info,registry,people,A King,83558266
info,registry,people,AC Kerr,7673c908
info,registry,people,AJ Healy,321644de
info,registry,people,AL Edgar,795ff893
info,registry,people,Andrew Crozier,00d07580
info,registry,people,BL Mooney,52d1dbc8
info,registry,people,CC Ainsworth,4b69c598
info,registry,people,CG Sippel,c2ac0db5
info,registry,people,EA Burns,2e0b6638
info,registry,people,EA Perry,be150fc8
info,registry,people,Eloise Sheridan,d8d43840
info,registry,people,FG Kemp,abc9f8a4
info,registry,people,J Stainer,fcd293d7
info,registry,people,KM Mack,ef13bd20
info,registry,people,L Cheatle,275dff85
info,registry,people,L Kua,c6dfc16b
info,registry,people,L Mills,c35a0b8a
info,registry,people,M Brown,78bec461
info,registry,people,M Darke,57a90666
info,registry,people,ME Claydon,15101f12
info,registry,people,MK Villiers,cd62f670
info,registry,people,PJ Scholfield,588360ee
info,registry,people,R Strange,3a3bd526
info,registry,people,SFM Devine,de69af96
info,registry,people,SIR Dunkley,3a9e9cb2
info,registry,people,Sharad Patel,8e6dd3ba
