version,2.3.0
info,balls_per_over,6
info,team,Chitwan Rhinos
info,team,Pokhara Avengers
info,team_type,club
info,gender,male
info,season,2025/26
info,date,2025/12/06
info,event,Nepal Premier League
info,match_id,1511003
info,match_type,T20
info,overs,20
info,match_number,27
info,venue,"Tribhuvan University International Cricket Ground, Kirtipur"
info,city,Kirtipur
info,toss_winner,Chitwan Rhinos
info,toss_decision,bat
info,player_of_match,AM Rossington
info,umpire,BB Pradhan
info,umpire,DN Subedi
info,reserve_umpire,SK Sigdel
info,tv_umpire,RMPJ Rambukwella
info,match_referee,Mohammed Shafique
info,target_overs,2,20
info,target_runs,2,121
info,winner,Pokhara Avengers
info,winner_wickets,8
info,player,Chitwan Rhinos,DJ Malan
info,player,Chitwan Rhinos,A Saud
info,player,Chitwan Rhinos,RS Bopara
info,player,Chitwan Rhinos,SA Zaib
info,player,Chitwan Rhinos,D Khanal
info,player,Chitwan Rhinos,Kushal Malla
info,player,Chitwan Rhinos,AR Ramjani
info,player,Chitwan Rhinos,KS Airee
info,player,Chitwan Rhinos,Gautam KC
info,player,Chitwan Rhinos,R Dhakal
info,player,Chitwan Rhinos,R Kumar
info,player,Pokhara Avengers,Arjun Kumal
info,player,Pokhara Avengers,AM Rossington
info,player,Pokhara Avengers,K Bhurtel
info,player,Pokhara Avengers,JJ Roy
info,player,Pokhara Avengers,D Lakshan
info,player,Pokhara Avengers,R Dhawan
info,player,Pokhara Avengers,K Thagunna
info,player,Pokhara Avengers,TR Das
info,player,Pokhara Avengers,Bipin Khatri
info,player,Pokhara Avengers,Krishna Poudel
info,player,Pokhara Avengers,Rohit Chand
info,registry,people,A Saud,94b8d7dd
info,registry,people,AM Rossington,7bcde3fe
info,registry,people,AR Ramjani,30d8136b
info,registry,people,Abhisekh Tiwari,12d57ebd
info,registry,people,Arjun Kumal,2f7a41f8
info,registry,people,BB Pradhan,8603d942
info,registry,people,Bipin Khatri,6e21867e
info,registry,people,D Khanal,c4bc3b59
info,registry,people,D Lakshan,0a2184d9
info,registry,people,DJ Malan,ad9c32a2
info,registry,people,DN Subedi,fb0a571f
info,registry,people,Gautam KC,a2ff9c85
info,registry,people,JJ Roy,d1c36f5c
info,registry,people,K Bhurtel,e3386c8a
info,registry,people,K Thagunna,97d86e77
info,registry,people,KS Airee,548d4188
info,registry,people,Krishna Poudel,1625de5c
info,registry,people,Kushal Malla,7e9f1cde
info,registry,people,Mohammed Shafique,a9ca87b8
info,registry,people,R Dhakal,8399a7af
info,registry,people,R Dhawan,26a85969
info,registry,people,R Kumar,aba0f4a9
info,registry,people,RMPJ Rambukwella,13fa6ffc
info,registry,people,RS Bopara,7ca5e05d
info,registry,people,Rohit Chand,5d5b034f
info,registry,people,SA Zaib,ab01e323
info,registry,people,SK Sigdel,e34ab986
info,registry,people,TR Das,40f1a776
