match_id,season,start_date,venue,innings,ball,actual_delivery,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,non_boundary,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed,fielder_1,fielder_2,fielder_3
1475259,2025,2025-05-02,"Gaddafi Stadium, Lahore",1,0.1,0.1,Islamabad United,Peshawar Zalmi,Sahibzada Farhan,KR Mayers,L Wood,0,0,,,,,,,,,,,,,
1475259,2025,2025-05-02,"Gaddafi Stadium, Lahore",1,0.2,0.2,Islamabad United,Peshawar Zalmi,Sahibzada Farhan,KR Mayers,L Wood,0,0,,,,,,,,,,,,,
1475259,2025,2025-05-02,"Gaddafi Stadium, Lahore",1,0.3,0.3,Islamabad United,Peshawar Zalmi,Sahibzada Farhan,KR Mayers,L Wood,0,0,,,,,,,,,,,,,
1475259,2025,2025-05-02,"Gaddafi Stadium, Lahore",1,0.4,0.4,Islamabad United,Peshawar Zalmi,Sahibzada Farhan,KR Mayers,L Wood,0,1,1,,,,,,,,,,,,
1475259,2025,2025-05-02,"Gaddafi Stadium, Lahore",1,0.5,0.4,Islamabad United,Peshawar Zalmi,Sahibzada Farhan,KR Mayers,L Wood,0,0,,,,,,,,,,,,,
1475259,2025,2025-05-02,"Gaddafi Stadium, Lahore",1,0.6,0.5,Islamabad United,Peshawar Zalmi,Sahibzada Farhan,KR Mayers,L Wood,2,0,,,,,,,,,,,,,
1475259,2025,2025-05-02,"Gaddafi Stadium, Lahore",1,0.7,0.6,Islamabad United,Peshawar Zalmi,Sahibzada Farhan,KR Mayers,L Wood,0,0,,,,,,,,,,,,,
1475259,2025,2025-05-02,"Gaddafi Stadium, Lahore",1,1.1,1.1,Islamabad United,Peshawar Zalmi,KR Mayers,Sahibzada Farhan,AS Joseph,0,0,,,,,,,,,,,,,
1475259,2025,2025-05-02,"Gaddafi Stadium, Lahore",1,1.2,1.2,Islamabad United,Peshawar Zalmi,KR Mayers,Sahibzada Farhan,AS Joseph,0,1,,,,1,,,,,,,,,
1475259,2025,2025-05-02,"Gaddafi Stadium, Lahore",1,1.3,1.3,Islamabad United,Peshawar Zalmi,Sahibzada Farhan,KR Mayers,AS Joseph,0,0,,,,,,,,,,,,,
