match_id,season,start_date,venue,innings,ball,actual_delivery,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,non_boundary,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed,fielder_1,fielder_2,fielder_3
1477980,2025,2025-08-22,"Sir Vivian Richards Stadium, North Sound, Antigua",1,0.1,0.1,Guyana Amazon Warriors,Antigua and Barbuda Falcons,BR McDermott,KA Anderson,Imad Wasim,0,0,,,,,,,,,,,,,
1477980,2025,2025-08-22,"Sir Vivian Richards Stadium, North Sound, Antigua",1,0.2,0.2,Guyana Amazon Warriors,Antigua and Barbuda Falcons,BR McDermott,KA Anderson,Imad Wasim,0,0,,,,,,,,,,,,,
1477980,2025,2025-08-22,"Sir Vivian Richards Stadium, North Sound, Antigua",1,0.3,0.3,Guyana Amazon Warriors,Antigua and Barbuda Falcons,BR McDermott,KA Anderson,Imad Wasim,4,0,,,,,,,,,,,,,
1477980,2025,2025-08-22,"Sir Vivian Richards Stadium, North Sound, Antigua",1,0.4,0.4,Guyana Amazon Warriors,Antigua and Barbuda Falcons,BR McDermott,KA Anderson,Imad Wasim,0,0,,,,,,,,,,,,,
1477980,2025,2025-08-22,"Sir Vivian Richards Stadium, North Sound, Antigua",1,0.5,0.5,Guyana Amazon Warriors,Antigua and Barbuda Falcons,BR McDermott,KA Anderson,Imad Wasim,3,0,,,,,,,,,,,,,
1477980,2025,2025-08-22,"Sir Vivian Richards Stadium, North Sound, Antigua",1,0.6,0.6,Guyana Amazon Warriors,Antigua and Barbuda Falcons,KA Anderson,BR McDermott,Imad Wasim,0,0,,,,,,,,,,,,,
1477980,2025,2025-08-22,"Sir Vivian Richards Stadium, North Sound, Antigua",1,1.1,1.1,Guyana Amazon Warriors,Antigua and Barbuda Falcons,BR McDermott,KA Anderson,JNT Seales,0,0,,,,,,,,,,,,,
1477980,2025,2025-08-22,"Sir Vivian Richards Stadium, North Sound, Antigua",1,1.2,1.2,Guyana Amazon Warriors,Antigua and Barbuda Falcons,BR McDermott,KA Anderson,JNT Seales,1,0,,,,,,,,,,,,,
1477980,2025,2025-08-22,"Sir Vivian Richards Stadium, North Sound, Antigua",1,1.3,1.3,Guyana Amazon Warriors,Antigua and Barbuda Falcons,KA Anderson,BR McDermott,JNT Seales,0,0,,,,,,,,,,,,,
1477980,2025,2025-08-22,"Sir Vivian Richards Stadium, North Sound, Antigua",1,1.4,1.4,Guyana Amazon Warriors,Antigua and Barbuda Falcons,KA Anderson,BR McDermott,JNT Seales,0,0,,,,,,,,,,,,,
1477980,2025,2025-08-22,"Sir Vivian Richards Stadium, North Sound, Antigua",1,1.5,1.5,Guyana Amazon Warriors,Antigua and Barbuda Falcons,KA Anderson,BR McDermott,JNT Seales,0,0,,,,,,,,,,,,,
1477980,2025,2025-08-22,"Sir Vivian Richards Stadium, North Sound, Antigua",1,1.6,1.6,Guyana Amazon Warriors,Antigua and Barbuda Falcons,KA Anderson,BR McDermott,JNT Seales,0,0,,,,,,,,,,,,,
1477980,2025,2025-08-22,"Sir Vivian Richards Stadium, North Sound, Antigua",1,2.1,2.1,Guyana Amazon Warriors,Antigua and Barbuda Falcons,BR McDermott,KA Anderson,OC McCoy,0,1,1,,,,,,,,,,,,
1477980,2025,2025-08-22,"Sir Vivian Richards Stadium, North Sound, Antigua",1,2.2,2.1,Guyana Amazon Warriors,Antigua and Barbuda Falcons,BR McDermott,KA Anderson,OC McCoy,0,0,,,,,,,caught,BR McDermott,,,JNT Seales,,
1477980,2025,2025-08-22,"Sir Vivian Richards Stadium, North Sound, Antigua",1,2.3,2.2,Guyana Amazon Warriors,Antigua and Barbuda Falcons,SD Hope,KA Anderson,OC McCoy,0,0,,,,,,,,,,,,,
1477980,2025,2025-08-22,"Sir Vivian Richards Stadium, North Sound, Antigua",1,2.4,2.3,Guyana Amazon Warriors,Antigua and Barbuda Falcons,SD Hope,KA Anderson,OC McCoy,1,0,,,,,,,,,,,,,
1477980,2025,2025-08-22,"Sir Vivian Richards Stadium, North Sound, Antigua",1,2.5,2.4,Guyana Amazon Warriors,Antigua and Barbuda Falcons,KA Anderson,SD Hope,OC McCoy,1,0,,,,,,,,,,,,,
1477980,2025,2025-08-22,"Sir Vivian Richards Stadium, North Sound, Antigua",1,2.6,2.5,Guyana Amazon Warriors,Antigua and Barbuda Falcons,SD Hope,KA Anderson,OC McCoy,0,0,,,,,,,,,,,,,
1477980,2025,2025-08-22,"Sir Vivian Richards Stadium, North Sound, Antigua",1,2.7,2.6,Guyana Amazon Warriors,Antigua and Barbuda Falcons,SD Hope,KA Anderson,OC McCoy,6,0,,,,,,,,,,,,,
1477980,2025,2025-08-22,"Sir Vivian Richards Stadium, North Sound, Antigua",1,3.1,3.1,Guyana Amazon Warriors,Antigua and Barbuda Falcons,KA Anderson,SD Hope,JNT Seales,1,0,,,,,,,,,,,,,
1477980,2025,2025-08-22,"Sir Vivian Richards Stadium, North Sound, Antigua",1,3.2,3.2,Guyana Amazon Warriors,Antigua and Barbuda Falcons,SD Hope,KA Anderson,JNT Seales,0,0,,,,,,,,,,,,,
1477980,2025,2025-08-22,"Sir Vivian Richards Stadium, North Sound, Antigua",1,3.3,3.3,Guyana Amazon Warriors,Antigua and Barbuda Falcons,SD Hope,KA Anderson,JNT Seales,0,0,,,,,,,,,,,,,
1477980,2025,2025-08-22,"Sir Vivian Richards Stadium, North Sound, Antigua",1,3.4,3.4,Guyana Amazon Warriors,Antigua and Barbuda Falcons,SD Hope,KA Anderson,JNT Seales,0,0,,,,,,,,,,,,,
1477980,2025,2025-08-22,"Sir Vivian Richards Stadium, North Sound, Antigua",1,3.5,3.5,Guyana Amazon Warriors,Antigua and Barbuda Falcons,SD Hope,KA Anderson,JNT Seales,0,0,,,,,,,,,,,,,
1477980,2025,2025-08-22,"Sir Vivian Richards Stadium, North Sound, Antigua",1,3.6,3.6,Guyana Amazon Warriors,Antigua and Barbuda Falcons,SD Hope,KA Anderson,JNT Seales,1,0,,,,,,,,,,,,,
1477980,2025,2025-08-22,"Sir Vivian Richards Stadium, North Sound, Antigua",1,4.1,4.1,Guyana Amazon Warriors,Antigua and Barbuda Falcons,SD Hope,KA Anderson,OC McCoy,0,0,,,,,,,,,,,,,
1477980,2025,2025-08-22,"Sir Vivian Richards Stadium, North Sound, Antigua",1,4.2,4.2,Guyana Amazon Warriors,Antigua and Barbuda Falcons,SD Hope,KA Anderson,OC McCoy,0,0,,,,,,,,,,,,,
1477980,2025,2025-08-22,"Sir Vivian Richards Stadium, North Sound, Antigua",1,4.3,4.3,Guyana Amazon Warriors,Antigua and Barbuda Falcons,SD Hope,KA Anderson,OC McCoy,1,0,,,,,,,,,,,,,
1477980,2025,2025-08-22,"Sir Vivian Richards Stadium, North Sound, Antigua",1,4.4,4.4,Guyana Amazon Warriors,Antigua and Barbuda Falcons,KA Anderson,SD Hope,OC McCoy,1,0,,,,,,,,,,,,,
1477980,2025,2025-08-22,"Sir Vivian Richards Stadium, North Sound, Antigua",1,4.5,4.5,Guyana Amazon Warriors,Antigua and Barbuda Falcons,SD Hope,KA Anderson,OC McCoy,4,0,,,,,,,,,,,,,
1477980,2025,2025-08-22,"Sir Vivian Richards Stadium, North Sound, Antigua",1,4.6,4.6,Guyana Amazon Warriors,Antigua and Barbuda Falcons,SD Hope,KA Anderson,OC McCoy,1,0,,,,,,,,,,,,,
1477980,2025,2025-08-22,"Sir Vivian Richards Stadium, North Sound, Antigua",1,5.1,5.1,Guyana Amazon Warriors,Antigua and Barbuda Falcons,SD Hope,KA Anderson,SK Springer,4,0,,,,,,,,,,,,,
1477980,2025,2025-08-22,"Sir Vivian Richards Stadium, North Sound, Antigua",1,5.2,5.2,Guyana Amazon Warriors,Antigua and Barbuda Falcons,SD Hope,KA Anderson,SK Springer,4,0,,,,,,,,,,,,,
1477980,2025,2025-08-22,"Sir Vivian Richards Stadium, North Sound, Antigua",1,5.3,5.3,Guyana Amazon Warriors,Antigua and Barbuda Falcons,SD Hope,KA Anderson,SK Springer,0,0,,,,,,,,,,,,,
1477980,2025,2025-08-22,"Sir Vivian Richards Stadium, North Sound, Antigua",1,5.4,5.4,Guyana Amazon Warriors,Antigua and Barbuda Falcons,SD Hope,KA Anderson,SK Springer,1,0,,,,,,,,,,,,,
1477980,2025,2025-08-22,"Sir Vivian Richards Stadium, North Sound, Antigua",1,5.5,5.5,Guyana Amazon Warriors,Antigua and Barbuda Falcons,KA Anderson,SD Hope,SK Springer,1,0,,,,,,,,,,,,,
1477980,2025,2025-08-22,"Sir Vivian Richards Stadium, North Sound, Antigua",1,5.6,5.6,Guyana Amazon Warriors,Antigua and Barbuda Falcons,SD Hope,KA Anderson,SK Springer,0,0,,,,,,,,,,,,,
1477980,2025,2025-08-22,"Sir Vivian Richards Stadium, North Sound, Antigua",1,6.1,6.1,Guyana Amazon Warriors,Antigua and Barbuda Falcons,KA Anderson,SD Hope,Imad Wasim,2,0,,,,,,,,,,,,,
