match_id,season,start_date,venue,innings,ball,actual_delivery,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,non_boundary,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed,fielder_1,fielder_2,fielder_3
1415156,2024,2024-09-22,"Trent Bridge, Nottingham",1,0.1,0.1,Glamorgan,Somerset,KS Carlson,WT Smale,JH Davey,0,0,,,,,,,,,,,,,
1415156,2024,2024-09-22,"Trent Bridge, Nottingham",1,0.2,0.2,Glamorgan,Somerset,KS Carlson,WT Smale,JH Davey,0,0,,,,,,,,,,,,,
1415156,2024,2024-09-22,"Trent Bridge, Nottingham",1,0.3,0.3,Glamorgan,Somerset,KS Carlson,WT Smale,JH Davey,1,0,,,,,,,,,,,,,
1415156,2024,2024-09-22,"Trent Bridge, Nottingham",1,0.4,0.4,Glamorgan,Somerset,WT Smale,KS Carlson,JH Davey,0,0,,,,,,,,,,,,,
1415156,2024,2024-09-22,"Trent Bridge, Nottingham",1,0.5,0.5,Glamorgan,Somerset,WT Smale,KS Carlson,JH Davey,0,1,1,,,,,,,,,,,,
1415156,2024,2024-09-22,"Trent Bridge, Nottingham",1,0.6,0.5,Glamorgan,Somerset,WT Smale,KS Carlson,JH Davey,0,1,1,,,,,,,,,,,,
1415156,2024,2024-09-22,"Trent Bridge, Nottingham",1,0.7,0.5,Glamorgan,Somerset,WT Smale,KS Carlson,JH Davey,4,0,,,,,,,,,,,,,
1415156,2024,2024-09-22,"Trent Bridge, Nottingham",1,0.8,0.6,Glamorgan,Somerset,WT Smale,KS Carlson,JH Davey,0,0,,,,,,,,,,,,,
1415156,2024,2024-09-22,"Trent Bridge, Nottingham",1,1.1,1.1,Glamorgan,Somerset,KS Carlson,WT Smale,ARJ Ogborne,0,1,1,,,,,,,,,,,,
1415156,2024,2024-09-22,"Trent Bridge, Nottingham",1,1.2,1.1,Glamorgan,Somerset,KS Carlson,WT Smale,ARJ Ogborne,0,0,,,,,,,,,,,,,
1415156,2024,2024-09-22,"Trent Bridge, Nottingham",1,1.3,1.2,Glamorgan,Somerset,KS Carlson,WT Smale,ARJ Ogborne,0,0,,,,,,,,,,,,,
1415156,2024,2024-09-22,"Trent Bridge, Nottingham",1,1.4,1.3,Glamorgan,Somerset,KS Carlson,WT Smale,ARJ Ogborne,0,0,,,,,,,bowled,KS Carlson,,,,,
1415156,2024,2024-09-22,"Trent Bridge, Nottingham",1,1.5,1.4,Glamorgan,Somerset,TR Bevan,WT Smale,ARJ Ogborne,0,0,,,,,,,caught,TR Bevan,,,MJ Leach,,
1415156,2024,2024-09-22,"Trent Bridge, Nottingham",1,1.6,1.5,Glamorgan,Somerset,SA Northeast,WT Smale,ARJ Ogborne,0,1,1,,,,,,,,,,,,
1415156,2024,2024-09-22,"Trent Bridge, Nottingham",1,1.7,1.5,Glamorgan,Somerset,SA Northeast,WT Smale,ARJ Ogborne,0,0,,,,,,,,,,,,,
1415156,2024,2024-09-22,"Trent Bridge, Nottingham",1,1.8,1.6,Glamorgan,Somerset,SA Northeast,WT Smale,ARJ Ogborne,0,0,,,,,,,,,,,,,
1415156,2024,2024-09-22,"Trent Bridge, Nottingham",1,2.1,2.1,Glamorgan,Somerset,WT Smale,SA Northeast,JH Davey,4,0,,,,,,,,,,,,,
1415156,2024,2024-09-22,"Trent Bridge, Nottingham",1,2.2,2.2,Glamorgan,Somerset,WT Smale,SA Northeast,JH Davey,4,0,,,,,,,,,,,,,
1415156,2024,2024-09-22,"Trent Bridge, Nottingham",1,2.3,2.3,Glamorgan,Somerset,WT Smale,SA Northeast,JH Davey,0,0,,,,,,,,,,,,,
1415156,2024,2024-09-22,"Trent Bridge, Nottingham",1,2.4,2.4,Glamorgan,Somerset,WT Smale,SA Northeast,JH Davey,0,1,1,,,,,,,,,,,,
1415156,2024,2024-09-22,"Trent Bridge, Nottingham",1,2.5,2.4,Glamorgan,Somerset,WT Smale,SA Northeast,JH Davey,4,0,,,,,,,,,,,,,
1415156,2024,2024-09-22,"Trent Bridge, Nottingham",1,2.6,2.5,Glamorgan,Somerset,WT Smale,SA Northeast,JH Davey,0,0,,,,,,,,,,,,,
1415156,2024,2024-09-22,"Trent Bridge, Nottingham",1,2.7,2.6,Glamorgan,Somerset,WT Smale,SA Northeast,JH Davey,0,2,,,,2,,,,,,,,,
1415156,2024,2024-09-22,"Trent Bridge, Nottingham",1,3.1,3.1,Glamorgan,Somerset,SA Northeast,WT Smale,ARJ Ogborne,0,1,1,,,,,,,,,,,,
1415156,2024,2024-09-22,"Trent Bridge, Nottingham",1,3.2,3.1,Glamorgan,Somerset,SA Northeast,WT Smale,ARJ Ogborne,0,1,1,,,,,,,,,,,,
1415156,2024,2024-09-22,"Trent Bridge, Nottingham",1,3.3,3.1,Glamorgan,Somerset,SA Northeast,WT Smale,ARJ Ogborne,1,0,,,,,,,,,,,,,
1415156,2024,2024-09-22,"Trent Bridge, Nottingham",1,3.4,3.2,Glamorgan,Somerset,WT Smale,SA Northeast,ARJ Ogborne,4,0,,,,,,,,,,,,,
1415156,2024,2024-09-22,"Trent Bridge, Nottingham",1,3.5,3.3,Glamorgan,Somerset,WT Smale,SA Northeast,ARJ Ogborne,1,0,,,,,,,,,,,,,
